Ad Title,Brand,Platform,Date of Release,View Count,Celebrity Featured,Ad Copy / Script,Ad Link,Source
Spar Werbespot 2013,Spar,Instagram,2021-03-30,2064301,Armin Assinger,Spar – wo Qualität auf Preis trifft.,http://haiden.at/,YouTube Leaderboard
Spar Werbespot 2016,Spar,TikTok,2024-12-08,739295,,Bei Lidl Österreich ist mehr für dich drin.,http://baumgartner.co.at/,Statista AT
Red Bull Werbespot 1985,Red Bull,YouTube,2024-08-06,1844068,Armin Assinger,Spar – wo Qualität auf Preis trifft.,http://www.rosner.net/,Horizont.at
Lidl Österreich Werbespot 1985,Lidl Österreich,TikTok,2024-02-13,1677971,Armin Assinger,ÖBB – Nachhaltig ans Ziel.,https://www.schlosser.com/,Statista AT
A1 Telekom Werbespot 1988,A1 Telekom,TikTok,2021-08-15,2343632,Petra Frey,"Jetzt neu bei Billa – frisch, regional, leiwand.",http://dorn.at/,YouTube Leaderboard
XXXLutz Werbespot 1994,XXXLutz,Instagram,2023-03-23,1314256,DJ Ötzi,Spar – wo Qualität auf Preis trifft.,https://www.ludwig.net/,ORF
Spar Werbespot 1975,Spar,TV,2024-12-29,821315,Conchita Wurst,Erste Bank – Weil du zählst.,https://gratzer.at/,ORF
Lidl Österreich Werbespot 2014,Lidl Österreich,YouTube,2022-03-28,6131433,Marcel Hirscher,Mit Hofer wird’s g’scheit günstig.,https://www.weissenboeck.net/,Horizont.at
Spar Werbespot 1988,Spar,YouTube,2024-02-26,4640852,Manuel Rubey,Schneller surfen mit A1 – Österreichs schnellstes Netz.,https://www.kitzler-gaertner.com/,Horizont.at
ÖBB Werbespot 2017,ÖBB,Facebook,2020-11-26,5920376,,XXXLutz macht Wohnen zum Erlebnis.,http://www.lutz.com/,Meta Ads Library
A1 Telekom Werbespot 2013,A1 Telekom,YouTube,2025-01-13,7184925,Marcel Hirscher,Spar – wo Qualität auf Preis trifft.,http://hammer.com/,Meta Ads Library
